no.;code;Leitungsfunktion;entry TBS;deputat FBS;deputat Vollzeit FBS;jobscope FBS;Übereinstimmung jobscope;deputat;deputat_full;jobscope_real;difference;jobscope_fbs;jobscope;Werte, wenn unter 10 % Differenz;age_tbs;age_fbs;age_Übereinstimmung;age;"gender_tbs (1=w; 2=m)";gender_fbs;Änderung gender;gender
103;ACDY8TG3BX;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;57;57;0;57;2;1;;2
104;AD6X6A4LVT;0;100,00;18,00;25,00;72,00;0;?;?;?;0,00;72,00;100,00;Nein;40;41;1;41;1;2;;1
105;AGQK3XNGRK;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;34;34;0;34;2;1;;2
106;AH435FDA2H;0;100,00;25,00;25,00;100,00;1;?;?;?;1,00;100,00;100,00;10,00;32;33;1;33;2;1;;2
107;AKVDTKU1U6;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;54;55;1;55;1;2;;1
108;AKZB84P4D5;0;100,00;27,50;25,00;110,00;1;27,50;?;110,00;0,00;105,00;105,00;105,00;35;36;1;36;1;2;;1
109;AQDG3LHGBE;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;51;52;1;52;1;2;;1
110;B3XLCDVVFM;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;34;35;1;35;2;1;;2
111;B515F93KL1;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;48;49;1;49;1;2;;1
112;B6TYGL7MDW;0;77,78;21,00;27,00;77,78;1;?;?;?;1,00;77,78;77,78;77,78;52;54;2;54;1;2;;1
113;BABGP1WMM9;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;48;49;1;49;1;2;;1
114;BCQ5113936;0;80,00;20,00;25,00;80,00;1;20,00;25,00;80,00;1,00;80,00;80,00;80,00;31;32;1;32;1;2;;1
115;BHCABZR185;0;64,00;16,00;25,00;64,00;1;16,00;25,00;64,00;1,00;64,00;64,00;64,00;39;40;1;40;1;2;;1
116;BLR8KLDD48;0;100,00;27,00;27,00;100,00;1;27,00;27,00;100,00;1,00;100,00;100,00;100,00;48;48;0;48;2;1;;2
117;BNQPL2Y1Q5;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;39;39;0;39;2;1;;2
118;BNQQAUQXCY;0;50,00;12,50;25,00;50,00;1;12,50;25,00;50,00;1,00;50,00;50,00;50,00;37;37;0;37;1;2;;1
119;BPLCZVXUBA;0;76,00;19,00;25,00;76,00;1;19,00;25,00;76,00;1,00;76,00;76,00;76,00;46;46;0;46;1;2;;1
120;BT6V7A1YF9;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;55;56;1;56;2;1;;2
121;BVEST3S2XM;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;55;56;1;56;2;1;;2
122;BXMLEXHHGW;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;56;57;1;57;1;2;;1
123;C4LKRFNBXB;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;36;37;1;37;2;1;;2
124;C7D2WYBE5F;0;64,00;16,00;25,00;64,00;1;16,00;25,00;64,00;1,00;64,00;64,00;64,00;40;41;1;41;1;2;;1
125;C7XWQALGLK;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;38;39;1;39;2;1;;2
126;CAAFZU7YLF;0;100,00;27,00;27,00;100,00;1;27,00;27,00;100,00;1,00;100,00;100,00;100,00;42;42;0;42;2;1;;2
127;CD8DGQN56T;0;64,00;16,00;25,00;64,00;1;16,00;25,00;64,00;1,00;64,00;64,00;64,00;58;59;1;59;1;2;;1
128;CGRBV9E62T;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;40;41;1;41;1;2;;1
129;CHUAXWB786;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;41;41;0;41;1;2;;1
130;CND152PXDT;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;38;38;0;38;2;1;;2
131;CRRY6A16PY;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;54;55;1;55;1;2;;1
132;CWEP9NDRCX;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;28;29;1;29;1;2;;1
133;D3G4AMSY4N;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;34;35;1;35;2;1;;2
134;D4XWEAU6W2;0;100,00;27,00;27,00;100,00;1;27,00;27,00;100,00;1,00;100,00;100,00;100,00;57;58;1;58;1;2;;1
135;DDY6QR5A97;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;37;38;1;38;2;1;;2
136;DYVLH7EXYF;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;45;45;0;45;2;1;;2
137;E2HUKPVCV1;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;55;56;1;56;2;1;;2
138;E7V7KURFZE;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;47;47;0;47;2;1;;2
139;EF18C8EFR4;0;100,00;26,00;25,00;104,00;1;26,00;?;104,00;0,00;102,00;102,00;102,00;46;46;0;46;2;1;;2
140;EGNXF9K786;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;29;30;1;30;1;2;;1
141;EH1V38XMDC;0;72,00;18,00;25,00;72,00;1;18,00;25,00;72,00;1,00;72,00;72,00;72,00;38;39;1;39;1;2;;1
142;EHRUX61231;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;40;41;1;41;2;1;;2
143;EL7H9D4GB6;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;40;41;1;41;2;1;;2
144;EMY6RKWZAH;1;90,00;Leitungsfunktion;Leitungsfunktion;90,00;1;Leitungsfunktion;Leitungsfunktion;90,00;1,00;90,00;90,00;90,00;54;55;1;55;1;2;;1
145;EN3YMP17XC;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;57;58;1;58;1;2;;1
146;EPSKYM3U4W;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;44;45;1;45;2;1;;2
147;EQXAQXX48W;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;44;45;1;45;1;2;;1
148;EUPKESVG7A;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;55;56;1;56;2;1;;2
149;EXZAF4HWMM;0;100,00;24,00;25,00;96,00;0;?;?;?;0,00;98,00;98,00;98,00;31;31;0;31;1;2;;1
150;EY4HRSEZRH;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;32;33;1;33;2;1;;2
151;F3XUPSAP7R;0;80,00;20,00;25,00;80,00;1;20,00;25,00;80,00;1,00;80,00;80,00;80,00;33;33;0;33;1;2;;1
152;F9L52HPX88;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;28;29;1;29;2;1;;2
153;FAALAQ4P3L;0;100,00;25,00;25,00;100,00;1;?;?;100,00;1,00;100,00;100,00;100,00;36;37;1;37;2;1;;2
154;FB26B8B7FE;0;72,00;18,00;25,00;72,00;1;18,00;25,00;72,00;1,00;72,00;72,00;72,00;44;45;1;45;1;2;;1
155;FD4NHHEL4Y;0;80,00;20,00;25,00;80,00;1;20,00;25,00;80,00;1,00;80,00;80,00;80,00;52;54;2;54;1;2;;1
156;FFB3945BA6;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;48;48;0;48;2;1;;2
157;FRWEKSY6NE;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;51;52;1;52;1;2;;1
158;FS799TLF7C;0;88,00;22,00;25,00;88,00;1;22,00;25,00;88,00;1,00;88,00;88,00;88,00;34;34;0;34;1;2;;1
159;FSQXPUYSGR;1;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;Leitungsfunktion;Leitungsfunktion;100,00;1,00;100,00;100,00;100,00;42;43;1;43;2;1;;2
160;FW9A9SYHXE;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;33;34;1;34;1;2;;1
161;FWQ1WULK1P;0;100,00;27,00;27,00;100,00;1;27,00;27,00;100,00;1,00;100,00;100,00;100,00;37;37;0;37;2;1;;2
162;G1PLRHPR8K;0;60,00;15,00;25,00;60,00;1;15,00;25,00;60,00;1,00;60,00;60,00;60,00;57;57;0;57;1;2;;1
163;G1US8TE8WN;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;34;34;0;34;2;1;;2
164;G4YQ45CQFY;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;37;38;1;38;1;2;;1
165;G5W8H6B348;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;37;38;1;38;1;2;;1
166;GE7QV1V1UV;0;100,00;23,00;25,00;92,00;0;?;?;?;0,00;96,00;96,00;96,00;37;37;0;37;1;2;;1
167;GHG2DSYSD7;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;48;48;0;48;1;2;zuvor m in FBS;1
168;GLQL26LMDL;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;33;34;1;34;2;1;;2
169;GS1PNH1167;0;60,00;15,00;25,00;60,00;1;15,00;25,00;60,00;1,00;60,00;60,00;60,00;38;39;1;39;1;2;;1
170;GXE815PM55;0;92,00;20,00;25,00;80,00;0;?;?;?;0,00;80,00;92,00;Nein;31;32;1;32;1;2;;1
171;GXT4RPP6DA;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;54;55;1;55;2;1;;2
172;GZ54S14PS2;0;100,00;25,00;25,00;100,00;1;25,00;25,00;100,00;1,00;100,00;100,00;100,00;44;45;1;45;1;2;;1
