no;SERIAL;TB_00;TB_01;A000;Fragebogen;InAusbildung;Geschlecht;Alter;RP;GruppeLK;GruppeLK_o;Vollzeit;Deputat;SProzent;Mehrarbeit;Mehrarbeit_o;Deputatsnachlass;Deputatsnachlass_o;AZ;AZ_00;AZO_01;AZO_02;AZO_03;AZO_04;AZF_01;AZF_02;AZF_03;AZF_04;LA01;LC01;LC06;LC06_o;LC11_01;LC11_02;LC11_03;LC11_04;LC11_05;LC11_06;LC11_07;LC11_08;LC11_09;LC11_10;LC11_11;LC11_11_o;LC12_01;LC12_02;LC12_03;SA01;SC04;SC09_01;SC09_02;SC09_03;VA02;VA02_o;VC02;VC03_01;VC03_02;VC03_03;VC08_01;VC08_02;VC08_03;VC08_04;VC08_05;VC08_06;VC08_07;VC08_08;VC08_09;VC08_10;VC08_11;VC08_11_o
11;1PWT9DU91K;1;1;1;1;0;2;52;1;1;;0;20,00;80,00;0;#NULL!;0;#NULL!;35,00;4,00;22,00;0,00;13,00;0,00;10,00;3,00;20,00;10,00;1;25;1;0,5000;15,0000;8,0000;5,0000;1,0000;1,0000;0,0000;1,0000;3,0000;1,0000;0,0000;#NULL!;;28;6;4;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
12;1R32ELUGQQ;1;1;1;1;0;2;54;1;1;;0;18,00;72,00;1;1,00;1;2,00;35,00;4,00;25,00;0,00;10,00;0,00;5,00;5,00;30,00;10,00;1;25;1;2,0000;14,0000;10,0000;3,0000;1,0000;2,0000;0,0000;2,0000;1,0000;0,0000;2,0000;#NULL!;;30;4;4;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
13;1SLGWNKAAV;1;1;1;2;0;2;51;1;1;;0;20,00;80,00;1;0,50;1;12,50;42,00;6,00;36,00;0,00;6,00;0,00;2,00;4,00;100,00;8,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;1;8,0000;20;13;5;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
14;1TCFP7XQS6;1;1;1;1;0;2;60;2;1;;1;25,00;100,00;0;#NULL!;1;1,00;45,00;1,00;23,00;0,00;22,00;0,00;15,00;7,00;15,00;20,00;4;25;3;#NULL!;19,0000;15,0000;5,0000;3,0000;2,0000;0,0000;0,0000;1,0000;1,0000;2,0000;#NULL!;;5;0;5;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
15;1VK3N4L6F3;1;0;1;2;0;1;41;4;1;;1;25,00;100,00;1;9,00;1;26,00;50,00;3,00;35,00;7,00;8,00;0,00;1,50;6,00;50,00;10,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;1;8,0000;28;2;8;3;Lebenszeit Beamter;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
16;1WUZA5YKRW;1;1;1;1;0;1;54;1;1;;1;25,00;100,00;0;#NULL!;1;0,50;42,00;7,00;25,00;1,00;16,00;0,00;3,00;2,00;8,00;2,00;1;25;1;0,5000;5,0000;2,0000;1,0000;0,5000;0,5000;0,5000;0,5000;0,5000;2,0000;1,0000;#NULL!;;25;8;5;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
17;1YND2XM42R;1;1;1;1;0;1;31;1;1;;1;25,00;100,00;0;#NULL!;0;#NULL!;42,00;2,50;30,00;0,00;12,00;0,00;3,00;0,50;20,00;20,00;2;25;3;#NULL!;26,0000;5,0000;5,0000;0,5000;1,0000;0,0000;0,0000;1,0000;0,5000;0,0000;#NULL!;;10;18;10;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
18;1ZAZBA1LSQ;1;1;1;1;0;1;48;1;2;;0;27,00;96,43;0;#NULL!;1;5,00;48,00;5,50;30,00;0,00;15,00;6,00;15,00;5,00;25,00;10,00;1;28;1;5,0000;21,0000;6,0000;6,0000;2,0000;2,0000;0,0000;5,0000;5,0000;0,0000;1,0000;0,0000;;4;34;0;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
19;216W8XUEM3;1;1;1;1;0;2;39;1;1;;0;18,00;72,00;1;1,00;1;1,00;36,00;2,00;23,00;0,00;13,00;0,00;5,00;2,00;45,00;15,00;1;25;1;1,0000;10,5000;11,0000;2,0000;2,0000;2,0000;0,0000;1,0000;1,0000;0,0000;2,0000;0,0000;;24;10;4;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
20;21DK23LPXC;1;1;1;2;0;1;51;3;1;;1;25,00;100,00;0;#NULL!;1;17,00;51,00;2,00;37,50;0,00;18,50;0,00;6,50;4,00;95,00;12,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;1;8,0000;20;12;6;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
21;22L9UXX215;1;1;1;1;0;2;29;1;1;;1;25,00;100,00;0;#NULL!;0;#NULL!;50,00;7,00;20,00;0,00;30,00;0,00;15,00;8,00;20,00;20,00;2;25;3;#NULL!;22,5000;20,0000;3,0000;2,0000;0,5000;0,0000;0,0000;2,0000;0,0000;0,0000;#NULL!;;15;18;5;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
22;2881F8SCFT;1;1;1;2;0;2;57;4;1;;1;25,00;100,00;0;#NULL!;1;8,00;55,00;2,00;45,00;0,10;10,00;0,00;3,00;7,00;150,00;100,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;1;17,0000;38;4;2;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
23;298MDBSHFE;1;0;1;1;0;1;49;1;1;;1;25,00;100,00;1;5,80;1;4,25;55,00;6,00;23,00;0,00;32,00;0,00;9,00;8,00;0,00;16,00;1;25;1;4,2500;16,0000;5,0000;3,0000;3,0000;2,0000;0,5000;5,0000;2,0000;1,5000;2,0000;15,0000;Vorbereitung von Lehrerfortbildungen (organisatorisch  und fachlich), Erstellung von Prüfungsaufgaben (Abitur)<br>;14;12;12;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
24;2BD8TTLLR1;1;1;1;1;0;2;54;4;1;;0;23,50;94,00;1;2,00;1;5,00;42,00;4,00;20,00;0,00;25,00;2,50;2,00;4,00;25,00;10,00;1;25;1;5,0000;16,0000;10,0000;3,0000;1,0000;1,0000;0,5000;1,0000;2,0000;0,0000;2,0000;8,2000;zSL;16;16;6;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
25;2DBV474UER;1;1;1;1;0;2;55;2;1;;1;25,00;100,00;1;4,00;1;0,40;53,00;3,50;32,00;0,00;21,00;0,00;7,00;10,00;48,00;20,00;1;25;1;0,4000;19,5000;14,0000;8,0000;2,5000;1,5000;0,0000;2,5000;2,5000;0,5000;2,0000;0,0000;;25;11;2;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
26;2DN9DW7FW5;1;0;1;1;0;1;45;3;1;;0;19,00;76,00;1;1,50;1;0,50;43,00;3,00;25,00;0,00;15,00;3,00;6,00;4,00;20,00;10,00;1;25;2;#NULL!;15,0000;10,0000;5,0000;1,5000;2,0000;0,0000;1,0000;4,0000;1,0000;0,5000;3,0000;Fahrtzeit;30;5;5;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
27;2N36NRL4PM;1;1;1;1;0;1;42;2;1;;1;25,00;100,00;1;31,00;1;3,00;48,00;3,00;41,00;0,00;7,00;0,00;2,00;3,00;10,00;5,00;1;25;1;2,0000;23,0000;8,0000;4,0000;2,0000;4,0000;1,0000;1,0000;3,0000;1,0000;1,0000;0,0000;;30;4;4;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
28;2NX43H22UA;1;1;1;1;0;2;29;1;1;;0;24,50;98,00;0;#NULL!;1;0,50;55,00;4,50;40,00;0,00;15,00;0,00;7,00;8,00;100,00;30,00;2;25;3;#NULL!;19,0000;9,0000;10,0000;1,5000;2,0000;1,0000;0,0000;10,0000;0,5000;2,0000;#NULL!;;25;10;3;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
29;2PVFLYCCVR;1;1;1;1;0;1;46;1;1;;1;25,00;100,00;0;#NULL!;1;6,00;40,00;0,75;26,00;2,00;10,00;2,00;6,00;2,00;40,00;15,00;1;25;1;6,0000;13,5000;4,0000;3,0000;1,0000;3,0000;0,5000;10,0000;2,0000;2,0000;1,0000;#NULL!;;32;4;2;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
30;2VV83YB7T9;1;1;1;2;0;1;58;3;1;;1;25,00;100,00;0;#NULL!;1;21,00;56,00;6,00;45,00;2,00;9,00;0,00;3,00;2,00;100,00;30,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;1;4,0000;38;0;0;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
31;2WRWYG2VC8;1;0;1;2;0;2;49;2;1;;1;25,00;100,00;1;1,20;1;16,00;50,00;5,00;40,00;0,00;10,00;0,00;1,00;4,00;40,00;10,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;1;9,0000;30;4;4;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
32;2YT2A449L5;1;1;1;2;0;1;59;4;1;;1;25,00;100,00;0;#NULL!;1;15,00;50,00;1,00;45,00;0,00;5,00;0,00;3,00;2,00;150,00;10,00;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;#NULL!;#NULL!;#NULL!;1;10,0000;33;5;0;#NULL!;;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;#NULL!;;
