no.;code;fragebogen;entry TBS;deputat FBS;deputat Vollzeit FBS;jobscope FBS;Übereinstimmung jobscope;Arbeitszeit TBS;Arbeitszeit WR;Arbeitszeit FBS;deputat;deputat_full;jobscope;jobscope FBS2;jobscope TBS;Spalte1;age_tbs;age_fbs;age_Übereinstimmung;age;gender_tbs;gender_fbs;Änderung gender;gender
122;BXMLEXHHGW;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;42,00;25,00;25,00;100,00;Nein;;Prüfen;56;57;1;57;1;2;;1
123;C4LKRFNBXB;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;47,00;25,00;25,00;100,00;Nein;;Prüfen;36;37;1;37;2;1;;2
124;C7D2WYBE5F;1;64,00;16,00;25,00;64,00;1;#BEZUG!;#BEZUG!;41,00;16,00;25,00;64,00;Nein;;Prüfen;40;41;1;41;1;2;;1
125;C7XWQALGLK;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;46,00;25,00;25,00;100,00;Nein;;Prüfen;38;39;1;39;2;1;;2
126;CAAFZU7YLF;1;100,00;27,00;27,00;100,00;1;#BEZUG!;#BEZUG!;50,00;27,00;27,00;100,00;Nein;;Prüfen;42;42;0;42;2;1;;2
127;CD8DGQN56T;1;64,00;16,00;25,00;64,00;1;#BEZUG!;#BEZUG!;34,00;16,00;25,00;64,00;Nein;;Prüfen;58;59;1;59;1;2;;1
128;CGRBV9E62T;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;43,00;25,00;25,00;100,00;Nein;;Prüfen;40;41;1;41;1;2;;1
129;CHUAXWB786;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;50,00;25,00;25,00;100,00;Nein;;Prüfen;41;41;0;41;1;2;;1
130;CND152PXDT;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;48,00;25,00;25,00;100,00;Nein;;Prüfen;38;38;0;38;2;1;;2
131;CRRY6A16PY;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;60,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;54;55;1;55;1;2;;1
132;CWEP9NDRCX;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;60,00;25,00;25,00;100,00;Nein;;Prüfen;28;29;1;29;1;2;;1
133;D3G4AMSY4N;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;43,00;25,00;25,00;100,00;Nein;;Prüfen;34;35;1;35;2;1;;2
134;D4XWEAU6W2;1;100,00;27,00;27,00;100,00;1;#BEZUG!;#BEZUG!;49,00;27,00;27,00;100,00;Nein;;Prüfen;57;58;1;58;1;2;;1
135;DDY6QR5A97;2;100,00;Leitungsfunktion;Leitungsfunktion;100,00;1;#BEZUG!;#BEZUG!;44,00;Leitungsfunktion;Leitungsfunktion;100,00;Nein;;Prüfen;37;38;1;38;2;1;;2
136;DYVLH7EXYF;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;44,00;25,00;25,00;100,00;Nein;;Prüfen;45;45;0;45;2;1;;2
137;E2HUKPVCV1;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;42,00;25,00;25,00;100,00;Nein;;Prüfen;55;56;1;56;2;1;;2
138;E7V7KURFZE;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;55,00;25,00;25,00;100,00;Nein;;Prüfen;47;47;0;47;2;1;;2
139;EF18C8EFR4;1;100,00;26,00;25,00;104,00;1;#BEZUG!;#BEZUG!;46,00;26,00;?;104,00;Nein;;Prüfen;46;46;0;46;2;1;;2
140;EGNXF9K786;1;100,00;25,00;25,00;100,00;1;#BEZUG!;#BEZUG!;41,00;25,00;25,00;100,00;Nein;;Prüfen;29;30;1;30;1;2;;1
